distrito,zona,lat,lon
SAO LUCAS,ZM_u,-23.602801953182222,-46.548891664848
CAMBUCI,ZM_u,-23.563001768124558,-46.60958095566015
CAMBUCI,ZM_u,-23.557861374251203,-46.61057984424618
CAMBUCI,ZM_u,-23.562836807258197,-46.61317175342329
VILA MARIA,ZEIS_1,-23.51893109332468,-46.55793678540617
VILA MARIA,ZEIS_1,-23.520092289931938,-46.57479254665857
VILA MARIA,ZEIS_1,-23.52023388035204,-46.572026482175495
VILA MARIA,ZEIS_2,-23.525488014955375,-46.578927807394315
VILA MARIA,ZEIS_2,-23.508127096782594,-46.56159678468126
VILA MARIA,ZEIS_2,-23.508116696020373,-46.559603881920964
VILA MARIA,ZEIS_2,-23.500868148951543,-46.56164095115908
VILA MARIA,ZEIS_2,-23.51121615714545,-46.559950834323445
VILA MARIA,ZEMP,-23.52342029212366,-46.581677977598105
ALTO DE PINHEIROS,ZER_1,-23.54949351480637,-46.71662108983647
SAO MIGUEL,ZEIS_1,-23.487835889167567,-46.45138997638247
SAO MIGUEL,ZEIS_1,-23.52433480374622,-46.44246000330148
SAO MIGUEL,ZM_u,-23.497842056623508,-46.448991704742554
VILA SONIA,ZEIS_1,-23.592554677863088,-46.750904262459706
VILA SONIA,ZEIS_1,-23.609207551396427,-46.72775204563541
VILA SONIA,ZEIS_2,-23.592296449699678,-46.7475200029871
VILA SONIA,ZM_a,-23.593026790604547,-46.75732594617669
VILA SONIA,ZM_a,-23.585125173136916,-46.74487074247549
VILA SONIA,ZM_a,-23.595445900285252,-46.74982254327754
VILA SONIA,ZM_a,-23.592210192736864,-46.74449245533022
VILA SONIA,ZM_u,-23.600566202968576,-46.72869128496773
VILA SONIA,ZM_u,-23.614317593749306,-46.73719190168413
VILA SONIA,ZM_u,-23.5975400455023,-46.72905948102496
VILA SONIA,ZM_u,-23.585484818775445,-46.73913767044089
VILA SONIA,ZM_u,-23.600140650251003,-46.726017997123535
VILA SONIA,ZM_u,-23.604719997501228,-46.72839744898668
VILA SONIA,ZM_u,-23.607509311663915,-46.73446934615095
MOEMA,ZM_u,-23.575728377137732,-46.65243291594426
IGUATEMI,ZEIS_1,-23.609972928475976,-46.41629367546557
IGUATEMI,ZEIS_1,-23.619352863889755,-46.432448356239924
IGUATEMI,ZEIS_1,-23.60552755977267,-46.430993967886565
IGUATEMI,ZEIS_1,-23.59766126569752,-46.4237861837959
IGUATEMI,ZEIS_1,-23.596494663790914,-46.446002971970195
IGUATEMI,ZEIS_1,-23.59460440801783,-46.41999802646356
IGUATEMI,ZEIS_1,-23.613821178321924,-46.44726365365425
IGUATEMI,ZEIS_1,-23.608430650111973,-46.44426439587178
IGUATEMI,ZEIS_1,-23.60298535636156,-46.44714467826528
IGUATEMI,ZEIS_1,-23.618957011577155,-46.417522538313186
IGUATEMI,ZEIS_1,-23.621719609458747,-46.41167149420275
IGUATEMI,ZEIS_1,-23.618983841622384,-46.414582503478776
IGUATEMI,ZEIS_1,-23.61553827186877,-46.426152369352906
IGUATEMI,ZEIS_1,-23.607357207389416,-46.43194394507334
IGUATEMI,ZEIS_1,-23.612748000245315,-46.434942685469544
IGUATEMI,ZEIS_2,-23.599104834785738,-46.434333621793044
IGUATEMI,ZEIS_2,-23.6017063076864,-46.44457024060563
IGUATEMI,ZEIS_2,-23.601403968793083,-46.448800506210254
IGUATEMI,ZEIS_2,-23.609099555895384,-46.41472172994442
IGUATEMI,ZEIS_2,-23.600945758310168,-46.41757415053402
IGUATEMI,ZEIS_2,-23.60731998487234,-46.43981897973382
IGUATEMI,ZEIS_2,-23.609826483175585,-46.42776790514266
IGUATEMI,ZEIS_2,-23.60737651192848,-46.43779847167804
IGUATEMI,ZEIS_2,-23.60315079412031,-46.45521665956327
IGUATEMI,ZEIS_5,-23.596696385810336,-46.426977446698864
IGUATEMI,ZM_a,-23.620165060402794,-46.42011342878515
IGUATEMI,ZM_a,-23.600855140546784,-46.450549804129345
IGUATEMI,ZM_a,-23.6016138993064,-46.42329413289929
ITAQUERA,ZEIS_1,-23.5250519708194,-46.47245064446154
ITAQUERA,ZEIS_1,-23.527871671695866,-46.460729027355406
ITAQUERA,ZEIS_1,-23.522453735286433,-46.460669222409884
ITAQUERA,ZEIS_1,-23.52970096811971,-46.46086252744305
LAJEADO,ZEIS_1,-23.532541342898845,-46.42177644057302
LAJEADO,ZEIS_1,-23.532568160995005,-46.41883833470734
LAJEADO,ZEIS_1,-23.527806016729354,-46.39418077413217
LAJEADO,ZEIS_1,-23.52514949235447,-46.3882762763313
LAJEADO,ZEIS_1,-23.536168539303137,-46.40888061831051
LAJEADO,ZEIS_1,-23.530750485281033,-46.408822912901364
LAJEADO,ZEIS_1,-23.520608003945558,-46.427257981656275
LAJEADO,ZEIS_1,-23.541332397323238,-46.39926819793985
LAJEADO,ZEIS_1,-23.544120483393097,-46.39048168506533
LAJEADO,ZEIS_1,-23.527655757121078,-46.431375029179634
LAJEADO,ZEIS_1,-23.530594165546585,-46.397660016045194
LAJEADO,ZEIS_2,-23.530889613436706,-46.42769166308951
LAJEADO,ZEIS_2,-23.53721573394868,-46.423264505650565
LAJEADO,ZM_u,-23.54406960201389,-46.398791101532105
LAJEADO,ZM_u,-23.53030438227407,-46.40545994936009
LAJEADO,ZM_u,-23.540500474644904,-46.40354954939002
LAJEADO,ZM_u,-23.547704021863908,-46.39752081672774
CAMPO GRANDE,ZEIS_3,-23.690154141306795,-46.68727329551738
CAMPO GRANDE,ZM_u,-23.688188090481333,-46.67443126966353
CAMPO GRANDE,ZM_u,-23.658989118843312,-46.68939832382752
CAMPO GRANDE,ZM_u,-23.67569193743579,-46.67601849023508
CAMPO GRANDE,ZM_u,-23.66497039700639,-46.684359416287336
CAMPO GRANDE,ZM_u,-23.668854646103124,-46.674793153251926
CAMPO GRANDE,ZM_u,-23.67975896632375,-46.67703901857106
CAMPO GRANDE,ZM_u,-23.679539678752636,-46.67276819104148
CAMPO GRANDE,ZM_u,-23.698497761754556,-46.68508743848774
CAMPO GRANDE,ZM_u,-23.684787243652806,-46.68873319049528
CAMPO GRANDE,ZM_u,-23.66612136802537,-46.69619274947852
CAMPO GRANDE,ZM_u,-23.67418912291728,-46.67446176379333
CAMPO GRANDE,ZM_u,-23.6607213702034,-46.68063505395429
JOSE BONIFACIO,ZEIS_1,-23.58180063401326,-46.42175505428593
JOSE BONIFACIO,ZEIS_1,-23.576548563108044,-46.43940905683881
JOSE BONIFACIO,ZEIS_1,-23.591207872776945,-46.43858684493828
JOSE BONIFACIO,ZEIS_1,-23.587321960089575,-46.43935447193591
JOSE BONIFACIO,ZEIS_1,-23.588176518170947,-46.42082555264487
JOSE BONIFACIO,ZEIS_1,-23.55393460037115,-46.42899019861529
JOSE BONIFACIO,ZEIS_1,-23.566699196983976,-46.42120346805769
JOSE BONIFACIO,ZEIS_2,-23.572521447928853,-46.4249062820531
JOSE BONIFACIO,ZEIS_2,-23.568379860855043,-46.43046707949859
JOSE BONIFACIO,ZEIS_2,-23.57076354660136,-46.42942447059665
JOSE BONIFACIO,ZEIS_2,-23.591211230993984,-46.432245545610385
JOSE BONIFACIO,ZEIS_2,-23.56774351611339,-46.426587103323925
JOSE BONIFACIO,ZEIS_2,-23.583564906956834,-46.43648674081568
JOSE BONIFACIO,ZEIS_2,-23.585214118373685,-46.42702248635992
JOSE BONIFACIO,ZEIS_2,-23.587370181115404,-46.42033336860267
JOSE BONIFACIO,ZEIS_5,-23.57988407261898,-46.440787741879106
JOSE BONIFACIO,ZEIS_5,-23.555935435768706,-46.428256978124864
JOSE BONIFACIO,ZMIS_u,-23.554228682543954,-46.43846123756746
JOSE BONIFACIO,ZMIS_u,-23.551767006578434,-46.44427008750118
JOSE BONIFACIO,ZMIS_u,-23.547350528146175,-46.44071790257005
JOSE BONIFACIO,ZMIS_u,-23.540623727904258,-46.432846501281716
CANGAIBA,ZEIS_1,-23.50017060659278,-46.5321995410004
CANGAIBA,ZEIS_1,-23.505391515835914,-46.494363744898855
CANGAIBA,ZEIS_1,-23.507343161752175,-46.522457405659495
CANGAIBA,ZEIS_1,-23.499414060304296,-46.512340976592775
CANGAIBA,ZEIS_1,-23.50264727126026,-46.53499620049333
CANGAIBA,ZEIS_1,-23.503106495819218,-46.51598211092898
CANGAIBA,ZEIS_1,-23.494781932262,-46.505454318137694
CANGAIBA,ZM_u,-23.50825691038771,-46.528254737299854
CANGAIBA,ZM_u,-23.511728568612405,-46.53564506068225
CANGAIBA,ZM_u,-23.50042748092141,-46.52216702091689
CANGAIBA,ZM_u,-23.499806635478564,-46.50163870281725
CANGAIBA,ZM_u,-23.508555315170113,-46.51206618287353
CANGAIBA,ZM_u,-23.509970057613806,-46.51880374836903
MORUMBI,ZEIS_1,-23.607890497635065,-46.70102118717492
MORUMBI,ZER_1,-23.60516350613704,-46.72031946329667
MORUMBI,ZER_1,-23.595871176514706,-46.71172981235617
MORUMBI,ZER_1,-23.596791051443724,-46.698625178632554
MORUMBI,ZER_1,-23.60265027230101,-46.705751805371214
MORUMBI,ZM_u,-23.604821404135972,-46.70524570619075
MORUMBI,ZM_u,-23.601374423558912,-46.71069525829592
MORUMBI,ZM_u,-23.611872332502035,-46.7009639937366
MORUMBI,ZM_u,-23.59865077124999,-46.697176084855954
MORUMBI,ZM_u,-23.608375657544254,-46.700413596818734
TREMEMBE,ZEIS_1,-23.448041655590423,-46.62484345965791
TREMEMBE,ZEIS_1,-23.434212031590494,-46.587974691656676
TREMEMBE,ZEIS_1,-23.43254848240032,-46.5949794828957
TREMEMBE,ZEIS_1,-23.419156376267228,-46.59140384455922
TREMEMBE,ZEIS_1,-23.443859153487576,-46.586754641180114
TREMEMBE,ZEIS_1,-23.44659782039162,-46.58385102181386
TREMEMBE,ZEIS_1,-23.451040586608652,-46.5913706829307
TREMEMBE,ZEIS_1,-23.44803092428944,-46.60821190227018
TREMEMBE,ZEIS_1,-23.419506827301582,-46.58554960146278
TREMEMBE,ZEIS_1,-23.42753348478391,-46.58387405075797
TREMEMBE,ZEIS_1,-23.433461408919488,-46.57473134231858
TREMEMBE,ZEIS_1,-23.436229393202616,-46.56889190395576
TREMEMBE,ZEIS_1,-23.444296827137244,-46.57485976301469
TREMEMBE,ZEIS_1,-23.430782135985364,-46.571763602955635
TREMEMBE,ZEIS_1,-23.441558319517426,-46.57776353116085
TREMEMBE,ZEIS_2,-23.43119030808009,-46.57884607873853
TREMEMBE,ZER_1,-23.46104533190283,-46.61634052135794
TREMEMBE,ZER_a,-23.448247338565153,-46.61784061947276
TREMEMBE,ZER_a,-23.444327530507135,-46.61568519396343
TREMEMBE,ZER_a,-23.452309565936474,-46.61638556670443
TREMEMBE,ZM_a,-23.404129156564423,-46.57904640786344
TREMEMBE,ZM_a,-23.430566399577156,-46.58580497849454
TREMEMBE,ZM_a,-23.441634745709223,-46.585480972811666
TREMEMBE,ZM_a,-23.44561531524285,-46.59476495291593
TREMEMBE,ZM_a,-23.45235583924244,-46.626637094043865
TREMEMBE,ZM_a,-23.451741172238105,-46.62461158063937
TREMEMBE,ZM_a,-23.451772940493374,-46.63048035781379
TREMEMBE,ZM_u,-23.460172645316494,-46.5932983837523
TREMEMBE,ZM_u,-23.46480182616095,-46.59377658725327
CIDADE DUTRA,ZEIS_1,-23.692298676271978,-46.69557053477747
CIDADE DUTRA,ZEIS_1,-23.728072307466153,-46.69654864126735
CIDADE DUTRA,ZEIS_1,-23.70691365072036,-46.68846188612639
CIDADE DUTRA,ZEIS_1,-23.72105902030668,-46.6843655426383
CIDADE DUTRA,ZEIS_1,-23.72144189375984,-46.67223336340139
CIDADE DUTRA,ZEIS_1,-23.69977208817522,-46.691433711367175
CIDADE DUTRA,ZEIS_1,-23.715086700463058,-46.67894632526804
CIDADE DUTRA,ZEIS_1,-23.71968410009578,-46.696570032642164
CIDADE DUTRA,ZEIS_1,-23.73442661104473,-46.713737618553
CIDADE DUTRA,ZEIS_1,-23.726671807201882,-46.704863362974415
CIDADE DUTRA,ZER_a,-23.72132782952287,-46.71197618322036
CIDADE DUTRA,ZER_a,-23.750492499827544,-46.717805000081775
CIDADE DUTRA,ZER_a,-23.75215976204253,-46.716460863227866
CIDADE DUTRA,ZM_a,-23.75620152066363,-46.711378986776545
CIDADE DUTRA,ZM_a,-23.71671068560733,-46.676680167084626
CIDADE DUTRA,ZM_a,-23.719112012972218,-46.702830737868446
CIDADE DUTRA,ZM_a,-23.74994489034721,-46.70752352006761
CIDADE DUTRA,ZM_a,-23.729543848364283,-46.711321117804566
CIDADE DUTRA,ZM_a,-23.725922278388623,-46.70992553250346
CIDADE DUTRA,ZM_a,-23.759069172007024,-46.71156703623398
CIDADE DUTRA,ZM_a,-23.732935622593924,-46.6947553817088
CIDADE DUTRA,ZM_a,-23.718166518444306,-46.70592841481942
CIDADE DUTRA,ZM_a,-23.726708654638713,-46.6967931850482
CIDADE DUTRA,ZM_a,-23.747599986354054,-46.713379004453614
BUTANTA,ZM_u,-23.575001398986718,-46.73170767906839
BUTANTA,ZM_u,-23.5768798793339,-46.732020819044834
BUTANTA,ZM_u,-23.569128973349766,-46.728759734640114
BUTANTA,ZM_u,-23.580623313265406,-46.74636644832381
PARELHEIROS,ZEIS_1,-23.84631730034874,-46.738156781028316
PARELHEIROS,ZEIS_1,-23.84561488830953,-46.735558626140474
PARELHEIROS,ZEIS_1,-23.844441495218337,-46.738978289369705
PARELHEIROS,ZEIS_1,-23.798839816853405,-46.73522953895786
PARELHEIROS,ZEIS_1,-23.793381051542273,-46.73437704628226
PARELHEIROS,ZEIS_1,-23.7960787170003,-46.70681513871444
PARELHEIROS,ZEIS_1,-23.8248113221742,-46.724520623997385
PARELHEIROS,ZEIS_1,-23.79039905709508,-46.72317311519579
PARELHEIROS,ZEIS_1,-23.7853938819343,-46.71191122369514
PARELHEIROS,ZEIS_1,-23.824866224279887,-46.70412216929809
PARELHEIROS,ZEIS_1,-23.813999477619358,-46.70692468006767
PARELHEIROS,ZEIS_1,-23.84950971221833,-46.71287963605912
PARELHEIROS,ZEIS_1,-23.83459393998423,-46.72561197630108
PARELHEIROS,ZEIS_1,-23.800940641878878,-46.727846376012884
PARELHEIROS,ZEIS_1,-23.794044189022237,-46.73788792813987
PARELHEIROS,ZEIS_1,-23.76740391219895,-46.72131811961468
PARELHEIROS,ZEIS_1,-23.86290009709972,-46.714171058760265
PARELHEIROS,ZEIS_1,-23.85754851667084,-46.70820980422554
PARELHEIROS,ZEIS_1,-23.865641380957413,-46.7112615601236
PARELHEIROS,ZEIS_1,-23.862932860825183,-46.71122596257692
PARELHEIROS,ZEIS_4,-23.774171305249794,-46.71271341816226
PARELHEIROS,ZEIS_4,-23.846391553638835,-46.71337444181749
PARELHEIROS,ZEIS_4,-23.82422885620646,-46.725545498558006
PARELHEIROS,ZEIS_4,-23.8151717538296,-46.70788234044188
PARELHEIROS,ZER_a,-23.746083297702448,-46.75052610824625
PARELHEIROS,ZER_a,-23.750746463243075,-46.76024960633388
PARELHEIROS,ZER_a,-23.74629563722363,-46.760189824115315
PARELHEIROS,ZM_a,-23.838929444435056,-46.73398577852316
PARELHEIROS,ZM_a,-23.778008788142433,-46.71453673094845
PARELHEIROS,ZM_a,-23.801669609449792,-46.73283754843994
PARELHEIROS,ZM_a,-23.828432091913243,-46.716188656385825
PARELHEIROS,ZM_a,-23.815273778872896,-46.73407954371492
PARELHEIROS,ZM_a,-23.781770461178414,-46.71549865073671
PARELHEIROS,ZM_a,-23.830098670737996,-46.715574885511025
PARELHEIROS,ZM_a,-23.82493670586618,-46.71860676535749
PARELHEIROS,ZM_a,-23.87095334908536,-46.675517348928906
PARELHEIROS,ZM_a,-23.83163379406085,-46.70884974010493
PARELHEIROS,ZM_a,-23.836206213514902,-46.727321948403834
PARELHEIROS,ZM_a,-23.796513158645602,-46.74284832084529
PARELHEIROS,ZM_a,-23.814203200708036,-46.73625222432411
PARELHEIROS,ZM_a,-23.77664455251415,-46.72076357274522
PARELHEIROS,ZM_a,-23.774997746492797,-46.719480451933535
PARELHEIROS,ZM_a,-23.86878060461427,-46.755530134547634
PARELHEIROS,ZM_a,-23.787522739574783,-46.71477785048636
PARELHEIROS,ZM_a,-23.798549211096468,-46.73639771404226
PARELHEIROS,ZM_a,-23.829229577735994,-46.7118517552365
PARELHEIROS,ZM_a,-23.829343782781898,-46.737383248723276
PARELHEIROS,ZM_a,-23.826636202097877,-46.73832091103157
PARELHEIROS,ZM_a,-23.856506643345842,-46.69026833293074
PARELHEIROS,ZM_a,-23.847769176373617,-46.69610175799437
SAO RAFAEL,ZEIS_1,-23.63519043741858,-46.46357630865217
SAO RAFAEL,ZEIS_1,-23.629827953438824,-46.457635642704474
SAO RAFAEL,ZEIS_1,-23.62022815408384,-46.44488427254422
SAO RAFAEL,ZEIS_1,-23.63867607439987,-46.43856336884068
SAO RAFAEL,ZEIS_1,-23.638593990166605,-46.447384686418026
SAO RAFAEL,ZEIS_1,-23.625049254197545,-46.44723579074722
SAO RAFAEL,ZEIS_1,-23.627730744605856,-46.450205749509884
SAO RAFAEL,ZEIS_1,-23.634910354906022,-46.4658578933719
SAO RAFAEL,ZEIS_1,-23.62709504897912,-46.46680036027454
SAO RAFAEL,ZEIS_1,-23.619628112568194,-46.44814464399846
SAO RAFAEL,ZEIS_1,-23.619573123863216,-46.45402465138819
SAO RAFAEL,ZEIS_1,-23.62225448537547,-46.45699461089396
SAO RAFAEL,ZEIS_2,-23.631851817633006,-46.436784146262504
SAO RAFAEL,ZEIS_2,-23.63862687862719,-46.47138363795132
SAO RAFAEL,ZEIS_2,-23.636010514881647,-46.45154614344677
SAO RAFAEL,ZEIS_2,-23.633301573750447,-46.451516273462865
SAO RAFAEL,ZEIS_2,-23.62454674783131,-46.442192656503074
SAO RAFAEL,ZM_a,-23.61944389389168,-46.46122445185693
SAO RAFAEL,ZM_a,-23.63901648395316,-46.45209204504164
SAO RAFAEL,ZM_a,-23.62270127619244,-46.44064037326701
SAO RAFAEL,ZM_u,-23.626790958091863,-46.47704070754196
GUAIANASES,ZEIS_1,-23.569158553693683,-46.38764283802956
GUAIANASES,ZEIS_1,-23.561456373202937,-46.39312195137198
GUAIANASES,ZEIS_1,-23.551297214035003,-46.42318346245467
GUAIANASES,ZEIS_1,-23.550444968015313,-46.41517278957777
GUAIANASES,ZEIS_1,-23.559015548659627,-46.416835756069204
GUAIANASES,ZEIS_1,-23.55909564138136,-46.40801964162899
GUAIANASES,ZEIS_1,-23.561895186107755,-46.420462407199004
GUAIANASES,ZEIS_2,-23.568823950778334,-46.39116421566313
GUAIANASES,ZEIS_2,-23.566467411858188,-46.38422505586456
GUAIANASES,ZEIS_2,-23.564703727362982,-46.390832070651754
GUAIANASES,ZEIS_2,-23.558505883488653,-46.39248941895919
GUAIANASES,ZMIS_u,-23.541086156213762,-46.422061436841645
GUAIANASES,ZMIS_u,-23.563995638607338,-46.39974277436541
GUAIANASES,ZMIS_u,-23.568941656281424,-46.39835016934615
GUAIANASES,ZM_u,-23.560542453670617,-46.40001169508805
GUAIANASES,ZM_u,-23.55626690533732,-46.406130836081346
GUAIANASES,ZM_u,-23.55101681222956,-46.401920748622956
GUAIANASES,ZM_u,-23.557660517103916,-46.39338943002152
GUAIANASES,ZM_u,-23.547652765467404,-46.405892483647655
TATUAPE,ZM_u,-23.530571071546394,-46.57271931384442
TATUAPE,ZM_u,-23.524801068339677,-46.56171376241477
TATUAPE,ZM_u,-23.530696611447265,-46.58201808277338
TATUAPE,ZM_u,-23.536483851734037,-46.55872658903826
VILA FORMOSA,ZEIS_1,-23.581708325229815,-46.53352877306988
PIRITUBA,ZEIS_1,-23.47153088847803,-46.7163063728791
PIRITUBA,ZEIS_1,-23.454767299485297,-46.71668412476125
PIRITUBA,ZEIS_1,-23.459070315239153,-46.71853554835841
PIRITUBA,ZEIS_1,-23.481202231228636,-46.752576413893216
PIRITUBA,ZEIS_1,-23.47593942148878,-46.74708607984087
PIRITUBA,ZEIS_2,-23.50147469752627,-46.72339615310163
PIRITUBA,ZEIS_2,-23.469293570969306,-46.71274011910596
PIRITUBA,ZEIS_5,-23.500758536093294,-46.71945332980289
PIRITUBA,ZEIS_5,-23.477756724922454,-46.74431156527607
PIRITUBA,ZEMP,-23.499381631106548,-46.71258409511698
PIRITUBA,ZEMP,-23.49881927370004,-46.707086124871694
PIRITUBA,ZM_u,-23.476935592333902,-46.74059048381435
PIRITUBA,ZM_u,-23.483557921302676,-46.73831027063373
PIRITUBA,ZM_u,-23.47935013817803,-46.74885447948372
PIRITUBA,ZM_u,-23.47687646289388,-46.75053230937646
PIRITUBA,ZM_u,-23.483888044284242,-46.725665628091456
PIRITUBA,ZM_u,-23.48054708860822,-46.71017477678095
PIRITUBA,ZM_u,-23.4708320381558,-46.749386279202724
PIRITUBA,ZM_u,-23.479480648984815,-46.7298577742094
PIRITUBA,ZM_u,-23.47727863672782,-46.74105850277794
PIRITUBA,ZM_u,-23.481811635768477,-46.73472019419095
PIRITUBA,ZM_u,-23.48290374565831,-46.73544876727032
PIRITUBA,ZM_u,-23.476687103943505,-46.7391234982367
PIRITUBA,ZM_u,-23.47345834668551,-46.732917716999886
PIRITUBA,ZM_u,-23.469492428366475,-46.72665857018861
PIRITUBA,ZM_u,-23.50496178284575,-46.718858841859536
PIRITUBA,ZM_u,-23.498090215135324,-46.72669439096454
PIRITUBA,ZM_u,-23.50430639393623,-46.715309404841655
